Victim : *B151876AB1F58C2FFE355E296324D3403C6E10F5
Victim : *AA111F16AB37E2D6E256086D12CCE5F548DCD246
Attacker : 014.000.041 || NN Score : 2.308377658098768e-05
Attacker : 052.000.200 || NN Score : 0.15315312068321876
Attacker : 223.206.249 || NN Score : 0.00015315312068321866
Attacker : 218.077.079 || NN Score : 0.09758700646262272
Attacker : 091.194.205 || NN Score : 0.023083776580987692
Attacker : 069.196.230 || NN Score : 0.230837765809877
Attacker : 216.197.233 || NN Score : 0.023083776580987692
Attacker : 151.095.004 || NN Score : 0.230837765809877
Attacker : 113.160.208 || NN Score : 0.0015315312068321868
Attacker : 098.138.013 || NN Score : 0.230837765809877
Attacker : 098.138.012 || NN Score : 0.023083776580987692
Attacker : 142.047.212 || NN Score : 2.308377658098768e-05
Attacker : 054.086.069 || NN Score : 0.0023083776580987685
Attacker : 078.040.183 || NN Score : 0.0015315312068321868
Attacker : 174.035.021 || NN Score : 2.308377658098768e-05
Attacker : 023.062.007 || NN Score : 0.00023083776580987684
Attacker : 190.164.020 || NN Score : 0.230837765809877
Attacker : 189.059.094 || NN Score : 9.758700646262266e-05
Attacker : 017.158.052 || NN Score : 0.00025392154239086453
Attacker : 061.240.144 || NN Score : 9.758700646262263e-06
Attacker : 119.031.250 || NN Score : 0.0025622992004896332
Attacker : 119.031.253 || NN Score : 0.00023083776580987684
Attacker : 174.077.037 || NN Score : 0.023083776580987692
Attacker : 023.015.025 || NN Score : 0.023083776580987692
Attacker : 151.249.094 || NN Score : 0.230860849586458
Attacker : 174.035.032 || NN Score : 0.230860849586458
Attacker : 093.184.211 || NN Score : 0.0
Attacker : 174.035.036 || NN Score : 0.0023083776580987685
Attacker : 207.108.220 || NN Score : 0.230837765809877
Attacker : 221.229.166 || NN Score : 0.09758700646262272
Attacker : 038.071.002 || NN Score : 0.0
Attacker : 058.218.211 || NN Score : 0.00015315312068321866
Attacker : 190.152.025 || NN Score : 0.230837765809877
Attacker : 157.150.195 || NN Score : 0.023083776580987692
Attacker : 037.138.038 || NN Score : 0.015315312068321874
Attacker : 076.095.180 || NN Score : 0.230837765809877
Attacker : 142.129.056 || NN Score : 0.00023083776580987684
Attacker : 061.158.240 || NN Score : 2.308377658098768e-05
Attacker : 059.099.222 || NN Score : 0.0015315312068321868
Attacker : 119.031.249 || NN Score : 0.0023083776580987685
Attacker : 108.200.185 || NN Score : 0.230837765809877
Attacker : 091.202.201 || NN Score : 2.308377658098768e-05
Attacker : 099.227.137 || NN Score : 0.0023083776580987685
Attacker : 064.233.185 || NN Score : 0.02333769812337856
Attacker : 061.244.110 || NN Score : 0.00025392154239086453
Attacker : 094.041.193 || NN Score : 0.0015315312068321868
Attacker : 190.211.163 || NN Score : 0.0
Attacker : 031.033.023 || NN Score : 2.308377658098768e-05
Attacker : 023.195.103 || NN Score : 2.308377658098768e-05
Attacker : 178.162.198 || NN Score : 0.00023083776580987684
Attacker : 177.084.163 || NN Score : 0.230837765809877
Attacker : 220.194.195 || NN Score : 0.0023083776580987685
Attacker : 179.001.008 || NN Score : 2.308377658098768e-05
Attacker : 190.045.100 || NN Score : 0.230837765809877
Attacker : 037.029.013 || NN Score : 0.0025622992004896332
Attacker : 014.000.059 || NN Score : 0.0
Attacker : 205.201.135 || NN Score : 0.09758700646262272
Attacker : 031.013.065 || NN Score : 0.023106860357568683
Attacker : 068.067.153 || NN Score : 0.00023083776580987684
Attacker : 061.110.249 || NN Score : 2.308377658098768e-05
Attacker : 046.147.114 || NN Score : 1.5315312068321862e-05
Attacker : 096.017.034 || NN Score : 0.230837765809877
Attacker : 078.040.032 || NN Score : 9.758700646262266e-05
Attacker : 001.032.075 || NN Score : 0.230837765809877
Attacker : 061.160.224 || NN Score : 0.0
Attacker : 101.079.144 || NN Score : 0.00023083776580987684
Attacker : 014.000.099 || NN Score : 0.0023083776580987685
Attacker : 101.191.036 || NN Score : 0.230837765809877
Attacker : 090.188.030 || NN Score : 0.00015315312068321866
Attacker : 174.035.050 || NN Score : 0.0023083776580987685
Attacker : 151.249.092 || NN Score : 0.00023083776580987684
Attacker : 064.053.032 || NN Score : 0.02331461434679757
Attacker : 098.109.199 || NN Score : 0.00015315312068321866
Attacker : 206.190.036 || NN Score : 0.230837765809877
Attacker : 131.253.061 || NN Score : 0.0023083776580987685
Attacker : 210.101.073 || NN Score : 2.308377658098768e-05
Attacker : 188.165.015 || NN Score : 0.2947138438471408
Attacker : 108.168.240 || NN Score : 0.00023083776580987684
Attacker : 117.248.208 || NN Score : 0.0015315312068321868
Attacker : 096.049.178 || NN Score : 1.5315312068321862e-05
Attacker : 082.135.211 || NN Score : 9.758700646262266e-05
Attacker : 014.000.067 || NN Score : 2.308377658098768e-05
Attacker : 037.029.000 || NN Score : 0.00025392154239086453
Attacker : 004.079.082 || NN Score : 0.023106860357568683
Attacker : 046.063.096 || NN Score : 2.308377658098768e-05
Attacker : 066.114.052 || NN Score : 0.230860849586458
Attacker : 210.195.107 || NN Score : 0.0015315312068321868
Attacker : 180.249.123 || NN Score : 0.023083776580987692
Attacker : 093.188.134 || NN Score : 0.0023083776580987685
Attacker : 017.143.162 || NN Score : 0.023083776580987692
Attacker : 052.025.080 || NN Score : 9.758700646262266e-05
Attacker : 054.243.081 || NN Score : 0.0023083776580987685
Attacker : 095.155.202 || NN Score : 9.758700646262263e-06
Attacker : 046.232.206 || NN Score : 2.308377658098768e-05
Attacker : 116.212.132 || NN Score : 2.308377658098768e-05
Attacker : 074.125.137 || NN Score : 0.0023083776580987685
Attacker : 109.098.012 || NN Score : 0.15315312068321876
Attacker : 207.006.023 || NN Score : 0.17016843239112436
Attacker : 175.041.009 || NN Score : 0.00023083776580987684
Attacker : 189.055.161 || NN Score : 0.09758700646262272
Attacker : 042.120.172 || NN Score : 2.308377658098768e-05
Attacker : 197.080.133 || NN Score : 0.00023083776580987684
Attacker : 175.041.000 || NN Score : 0.0
Attacker : 175.041.007 || NN Score : 0.00023083776580987684
Attacker : 175.041.005 || NN Score : 0.023083776580987692
Attacker : 014.169.172 || NN Score : 0.15315312068321876
Attacker : 082.148.102 || NN Score : 0.023106860357568683
Attacker : 189.251.252 || NN Score : 0.230837765809877
Attacker : 023.218.121 || NN Score : 2.308377658098768e-05
Attacker : 074.125.021 || NN Score : 0.23314614346797577
Attacker : 218.201.154 || NN Score : 2.6526898636106256e-05
Attacker : 104.210.000 || NN Score : 0.0015315312068321868
Attacker : 211.039.136 || NN Score : 2.308377658098768e-05
Attacker : 190.108.090 || NN Score : 2.308377658098768e-05
Attacker : 175.041.012 || NN Score : 2.308377658098768e-05
Attacker : 175.041.015 || NN Score : 0.230837765809877
Attacker : 213.153.154 || NN Score : 0.015315312068321874
Attacker : 074.125.196 || NN Score : 0.00023083776580987684
Attacker : 173.208.194 || NN Score : 9.758700646262263e-06
Attacker : 174.035.087 || NN Score : 0.230837765809877
Attacker : 222.186.021 || NN Score : 0.015489768235605593
Attacker : 078.085.039 || NN Score : 0.0009758700646262269
Attacker : 190.231.220 || NN Score : 0.230837765809877
Attacker : 190.107.183 || NN Score : 0.15315312068321876
Attacker : 014.000.033 || NN Score : 0.023083776580987692
Attacker : 095.128.060 || NN Score : 0.0023083776580987685
Attacker : 173.194.037 || NN Score : 0.230837765809877
Attacker : 091.202.203 || NN Score : 0.0023083776580987685
Attacker : 017.167.193 || NN Score : 0.00023083776580987684
Attacker : 094.153.009 || NN Score : 0.009758700646262271
Attacker : 037.205.057 || NN Score : 0.15315312068321876
Attacker : 014.000.058 || NN Score : 0.0
Attacker : 174.035.093 || NN Score : 0.0023083776580987685
Attacker : 014.202.011 || NN Score : 2.308377658098768e-05
Attacker : 042.117.008 || NN Score : 0.0
Attacker : 210.186.234 || NN Score : 0.15315312068321876
Attacker : 106.120.151 || NN Score : 2.308377658098768e-05
Attacker : 213.180.110 || NN Score : 0.00015315312068321866
Attacker : 064.233.176 || NN Score : 2.308377658098768e-05
Attacker : 119.112.142 || NN Score : 0.15315312068321876
Attacker : 190.023.173 || NN Score : 0.230837765809877
Attacker : 041.206.101 || NN Score : 2.308377658098768e-05
Attacker : 188.119.060 || NN Score : 1.5315312068321862e-05
Attacker : 076.216.205 || NN Score : 2.308377658098768e-05
Attacker : 222.173.051 || NN Score : 2.308377658098768e-05
Attacker : 143.215.193 || NN Score : 0.25648384159135434
Victim : *49372C188C084FB49BAFDC06A7710F77313EDC2B
Victim : *93B276F88D747F487847DEEB28356C13C68DAE68
Victim : *BCFBDF0CA714117C6D351590E2742AEA8B4D88F6
Victim : *8D8F3C79F8807E5C0E9D80EDA8F330ADBCD59127
Victim : *8A35C6EBB80EC2D4EF8A90F0B2FFC362D68AF0E2
Attacker : 089.212.231 || NN Score : 0.0021456432677230547
Attacker : 121.175.088 || NN Score : 0.21456432677230558
Attacker : 067.044.192 || NN Score : 0.0018537350529271007
Attacker : 216.197.233 || NN Score : 0.017153198347314783
Attacker : 096.037.248 || NN Score : 0.0021456432677230547
Attacker : 118.136.218 || NN Score : 0.0
Attacker : 024.162.222 || NN Score : 1.594835562886188e-05
Attacker : 208.080.154 || NN Score : 0.21456432677230558
Attacker : 093.037.153 || NN Score : 0.0021456432677230547
Attacker : 075.048.225 || NN Score : 1.8537350529271e-05
Attacker : 149.174.028 || NN Score : 0.18537350529271016
Attacker : 173.194.017 || NN Score : 0.00021456432677230544
Attacker : 066.196.118 || NN Score : 0.0
Attacker : 067.174.070 || NN Score : 0.21456432677230558
Attacker : 068.067.176 || NN Score : 0.00020391085582198104
Attacker : 017.154.066 || NN Score : 0.0015948355628861888
Attacker : 173.245.078 || NN Score : 0.0
Attacker : 017.158.052 || NN Score : 0.0001886851818204625
Attacker : 132.245.023 || NN Score : 0.15948355628861896
Attacker : 123.125.070 || NN Score : 1.8537350529271e-05
Attacker : 054.231.000 || NN Score : 0.00016904662817321734
Attacker : 173.241.242 || NN Score : 0.0018722724034563717
Attacker : 069.249.253 || NN Score : 1.594835562886188e-05
Attacker : 204.079.197 || NN Score : 2.145643267723054e-05
Attacker : 204.154.110 || NN Score : 0.0023602075944953605
Attacker : 067.044.166 || NN Score : 1.8537350529271e-05
Attacker : 108.200.185 || NN Score : 0.17153198347314785
Attacker : 064.233.185 || NN Score : 0.017341883529135245
Attacker : 072.052.168 || NN Score : 0.0
Attacker : 223.204.248 || NN Score : 0.0021456432677230547
Attacker : 198.179.031 || NN Score : 2.145643267723054e-05
Attacker : 017.146.232 || NN Score : 0.0018537350529271007
Attacker : 177.084.163 || NN Score : 0.17153198347314785
Attacker : 077.125.120 || NN Score : 0.0021456432677230547
Attacker : 190.045.100 || NN Score : 0.17153198347314785
Attacker : 190.152.025 || NN Score : 0.17153198347314785
Attacker : 173.192.220 || NN Score : 1.690466281732173e-05
Attacker : 071.017.030 || NN Score : 0.0021456432677230547
Attacker : 001.032.075 || NN Score : 0.17153198347314785
Attacker : 023.127.181 || NN Score : 1.594835562886188e-05
Attacker : 065.052.108 || NN Score : 0.0018537350529271007
Attacker : 070.067.145 || NN Score : 0.21456432677230558
Attacker : 131.253.061 || NN Score : 0.0017153198347314776
Attacker : 199.038.164 || NN Score : 0.01872272403456372
Attacker : 108.168.240 || NN Score : 0.00017153198347314775
Attacker : 076.118.239 || NN Score : 1.594835562886188e-05
Attacker : 162.217.169 || NN Score : 0.00021456432677230544
Attacker : 089.106.106 || NN Score : 0.0
Attacker : 023.002.076 || NN Score : 0.003740478830609244
Attacker : 064.020.243 || NN Score : 0.0018537350529271007
Attacker : 068.034.006 || NN Score : 1.594835562886188e-05
Attacker : 180.249.123 || NN Score : 0.017153198347314783
Attacker : 077.234.041 || NN Score : 0.21456432677230558
Attacker : 054.243.081 || NN Score : 0.0017153198347314776
Attacker : 157.055.235 || NN Score : 0.021456432677230554
